image_path,steering,speed,source,sequence_key,chunk_id
data\training_data\2733.png,80.625,1.0,csv,csv_000002733,5
data\training_data\1044.png,67.5,1.0,csv,csv_000001044,2
data\training_data\10506.png,89.375,1.0,csv,csv_000010506,20
data\training_data\5852.png,67.5,1.0,csv,csv_000005852,11
data\training_data\7315.png,102.5,1.0,csv,csv_000007315,14
data\training_data\12962.png,76.25,1.0,csv,csv_000012962,25
data\training_data\5723.png,93.75,1.0,csv,csv_000005723,11
data\training_data\4165.png,54.375,1.0,csv,csv_000004165,8
data\training_data\8482.png,89.375,1.0,csv,csv_000008482,16
data\training_data\11397.png,58.75,1.0,csv,csv_000011397,22
data\training_data\5356.png,80.625,1.0,csv,csv_000005356,10
data\training_data\2923.png,85.0,1.0,csv,csv_000002923,5
data\training_data\6674.png,85.0,1.0,csv,csv_000006674,13
data\training_data\2392.png,89.375,1.0,csv,csv_000002392,4
data\training_data\10081.png,85.0,0.0,csv,csv_000010081,20
data\training_data\8943.png,85.0,1.0,csv,csv_000008943,17
data\training_data\3548.png,85.0,0.0,csv,csv_000003548,7
data\training_data\6532.png,85.0,0.0,csv,csv_000006532,13
data\training_data\1381.png,102.5,1.0,csv,csv_000001381,2
data\training_data\13146.png,93.75,1.0,csv,csv_000013146,26
data\training_data\13262.png,85.0,1.0,csv,csv_000013262,26
data\training_data\9850.png,98.125,1.0,csv,csv_000009850,19
data\training_data\7099.png,85.0,1.0,csv,csv_000007099,14
data\training_data\4471.png,106.875,1.0,csv,csv_000004471,8
car\data\drive_frames\1773148033030_85_35.png,85.0,35.0,drive_frames,drive_1773148033030,31
data\training_data\9983.png,98.125,0.0,csv,csv_000009983,19
data\training_data\2590.png,106.875,1.0,csv,csv_000002590,5
data\training_data\8055.png,111.25,0.0,csv,csv_000008055,16
car\data\drive_frames\1772210055724_85_35.png,85.0,35.0,drive_frames,drive_1772210055724,29
data\training_data\8954.png,85.0,1.0,csv,csv_000008954,17
car\data\drive_frames\1773147802325_120_35.png,120.0,35.0,drive_frames,drive_1773147802325,31
data\training_data\11055.png,85.0,1.0,csv,csv_000011055,22
data\training_data\7166.png,85.0,0.0,csv,csv_000007166,14
data\training_data\11824.png,50.0,1.0,csv,csv_000011824,23
data\training_data\3002.png,67.5,1.0,csv,csv_000003002,5
data\training_data\5342.png,93.75,1.0,csv,csv_000005342,10
data\training_data\2237.png,102.5,1.0,csv,csv_000002237,4
car\data\drive_frames\1772210035012_90_35.png,90.0,35.0,drive_frames,drive_1772210035012,29
data\training_data\12890.png,58.75,1.0,csv,csv_000012890,25
data\training_data\5075.png,93.75,1.0,csv,csv_000005075,10
data\training_data\13420.png,85.0,0.0,csv,csv_000013420,26
data\training_data\6585.png,106.875,1.0,csv,csv_000006585,13
data\training_data\9912.png,85.0,1.0,csv,csv_000009912,19
data\training_data\7406.png,89.375,1.0,csv,csv_000007406,14
data\training_data\7457.png,102.5,1.0,csv,csv_000007457,14
data\training_data\12928.png,102.5,1.0,csv,csv_000012928,25
car\data\drive_frames\1772209964598_125_35.png,120.0,35.0,drive_frames,drive_1772209964598,28
data\training_data\6698.png,71.875,1.0,csv,csv_000006698,13
data\training_data\9752.png,85.0,1.0,csv,csv_000009752,19
data\training_data\12535.png,85.0,0.0,csv,csv_000012535,25
car\data\drive_frames\1773065717904_95_35.png,95.0,35.0,drive_frames,drive_1773065717904,29
data\training_data\8630.png,106.875,1.0,csv,csv_000008630,17
data\training_data\14169.png,106.875,1.0,csv,csv_000014169,28
data\training_data\13038.png,85.0,0.0,csv,csv_000013038,26
data\training_data\2082.png,80.625,1.0,csv,csv_000002082,4
data\training_data\14251.png,89.375,1.0,csv,csv_000014251,28
data\training_data\11627.png,93.75,1.0,csv,csv_000011627,23
data\training_data\8189.png,98.125,1.0,csv,csv_000008189,16
data\training_data\9533.png,111.25,1.0,csv,csv_000009533,19
data\training_data\1040.png,98.125,0.0,csv,csv_000001040,2
data\training_data\594.png,80.625,1.0,csv,csv_000000594,1
data\training_data\6633.png,85.0,1.0,csv,csv_000006633,13
car\data\drive_frames\1773066023202_90_0.png,90.0,0.0,drive_frames,drive_1773066023202,29
data\training_data\12031.png,106.875,0.0,csv,csv_000012031,23
data\training_data\601.png,58.75,1.0,csv,csv_000000601,1
data\training_data\14309.png,111.25,0.0,csv,csv_000014309,28
data\training_data\1194.png,89.375,1.0,csv,csv_000001194,2
data\training_data\11802.png,85.0,0.0,csv,csv_000011802,23
data\training_data\2285.png,58.75,1.0,csv,csv_000002285,4
data\training_data\5113.png,85.0,0.0,csv,csv_000005113,10
data\training_data\2410.png,98.125,1.0,csv,csv_000002410,4
data\training_data\2225.png,106.875,1.0,csv,csv_000002225,4
data\training_data\9933.png,71.875,1.0,csv,csv_000009933,19
car\data\drive_frames\1773147929868_85_35.png,85.0,35.0,drive_frames,drive_1773147929868,31
data\training_data\13289.png,98.125,1.0,csv,csv_000013289,26
data\training_data\5203.png,98.125,0.0,csv,csv_000005203,10
data\training_data\8832.png,85.0,1.0,csv,csv_000008832,17
data\training_data\773.png,102.5,1.0,csv,csv_000000773,1
data\training_data\7133.png,80.625,1.0,csv,csv_000007133,14
data\training_data\1486.png,106.875,1.0,csv,csv_000001486,2
data\training_data\11879.png,58.75,1.0,csv,csv_000011879,23
car\data\drive_frames\1772209971836_115_35.png,115.0,35.0,drive_frames,drive_1772209971836,28
data\training_data\3656.png,80.625,1.0,csv,csv_000003656,7
data\training_data\9611.png,106.875,1.0,csv,csv_000009611,19
data\training_data\5546.png,85.0,1.0,csv,csv_000005546,11
data\training_data\4384.png,85.0,1.0,csv,csv_000004384,8
data\training_data\2690.png,71.875,1.0,csv,csv_000002690,5
data\training_data\7393.png,85.0,1.0,csv,csv_000007393,14
data\training_data\1151.png,106.875,1.0,csv,csv_000001151,2
data\training_data\1314.png,71.875,1.0,csv,csv_000001314,2
data\training_data\1250.png,106.875,1.0,csv,csv_000001250,2
data\training_data\4143.png,76.25,1.0,csv,csv_000004143,8
data\training_data\8300.png,80.625,1.0,csv,csv_000008300,16
data\training_data\2364.png,80.625,0.0,csv,csv_000002364,4
data\training_data\10299.png,89.375,1.0,csv,csv_000010299,20
data\training_data\13196.png,85.0,0.0,csv,csv_000013196,26
data\training_data\12773.png,89.375,0.0,csv,csv_000012773,25
car\data\drive_frames\1773147927773_85_35.png,85.0,35.0,drive_frames,drive_1773147927773,31
data\training_data\11373.png,106.875,1.0,csv,csv_000011373,22
data\training_data\1380.png,71.875,1.0,csv,csv_000001380,2
data\training_data\4379.png,89.375,1.0,csv,csv_000004379,8
data\training_data\8072.png,89.375,1.0,csv,csv_000008072,16
data\training_data\5085.png,71.875,1.0,csv,csv_000005085,10
data\training_data\650.png,85.0,0.0,csv,csv_000000650,1
data\training_data\717.png,98.125,1.0,csv,csv_000000717,1
data\training_data\12791.png,98.125,1.0,csv,csv_000012791,25
car\data\drive_frames\1772210078473_100_35.png,100.0,35.0,drive_frames,drive_1772210078473,29
data\training_data\11895.png,102.5,0.0,csv,csv_000011895,23
data\training_data\6773.png,85.0,1.0,csv,csv_000006773,13
data\training_data\4420.png,85.0,0.0,csv,csv_000004420,8
data\training_data\6807.png,106.875,1.0,csv,csv_000006807,13
data\training_data\1131.png,85.0,1.0,csv,csv_000001131,2
data\training_data\5122.png,98.125,1.0,csv,csv_000005122,10
car\data\drive_frames\1773066075981_65_35.png,65.0,35.0,drive_frames,drive_1773066075981,29
data\training_data\1007.png,85.0,1.0,csv,csv_000001007,1
data\training_data\12694.png,76.25,1.0,csv,csv_000012694,25
data\training_data\2247.png,93.75,1.0,csv,csv_000002247,4
data\training_data\5347.png,93.75,1.0,csv,csv_000005347,10
data\training_data\4429.png,89.375,1.0,csv,csv_000004429,8
data\training_data\8137.png,98.125,1.0,csv,csv_000008137,16
data\training_data\2933.png,93.75,1.0,csv,csv_000002933,5
data\training_data\7516.png,106.875,1.0,csv,csv_000007516,14
data\training_data\1415.png,85.0,0.0,csv,csv_000001415,2
car\data\drive_frames\1772209968735_85_35.png,85.0,35.0,drive_frames,drive_1772209968735,28
data\training_data\2483.png,93.75,1.0,csv,csv_000002483,4
data\training_data\11252.png,115.625,1.0,csv,csv_000011252,22
data\training_data\10270.png,98.125,1.0,csv,csv_000010270,20
data\training_data\6860.png,85.0,1.0,csv,csv_000006860,13
data\training_data\8958.png,93.75,1.0,csv,csv_000008958,17
data\training_data\12933.png,58.75,1.0,csv,csv_000012933,25
data\training_data\10177.png,106.875,1.0,csv,csv_000010177,20
car\data\drive_frames\1773147791987_120_35.png,120.0,35.0,drive_frames,drive_1773147791987,31
data\training_data\2097.png,85.0,1.0,csv,csv_000002097,4
data\training_data\5858.png,93.75,1.0,csv,csv_000005858,11
data\training_data\11837.png,54.375,1.0,csv,csv_000011837,23
car\data\drive_frames\1773066190769_75_0.png,75.0,0.0,drive_frames,drive_1773066190769,29
data\training_data\13285.png,106.875,0.0,csv,csv_000013285,26
data\training_data\13282.png,93.75,1.0,csv,csv_000013282,26
car\data\drive_frames\1773147953647_85_35.png,85.0,35.0,drive_frames,drive_1773147953647,31
data\training_data\12971.png,58.75,1.0,csv,csv_000012971,25
data\training_data\6865.png,98.125,1.0,csv,csv_000006865,13
car\data\drive_frames\1773148047504_95_35.png,95.0,35.0,drive_frames,drive_1773148047504,31
data\training_data\5803.png,76.25,1.0,csv,csv_000005803,11
data\training_data\8841.png,102.5,1.0,csv,csv_000008841,17
data\training_data\7213.png,85.0,1.0,csv,csv_000007213,14
data\training_data\4127.png,50.0,0.0,csv,csv_000004127,8
data\training_data\4349.png,89.375,1.0,csv,csv_000004349,8
data\training_data\1317.png,93.75,1.0,csv,csv_000001317,2
data\training_data\7159.png,102.5,1.0,csv,csv_000007159,14
data\training_data\10087.png,102.5,1.0,csv,csv_000010087,20
data\training_data\4067.png,106.875,1.0,csv,csv_000004067,8
data\training_data\11258.png,80.625,1.0,csv,csv_000011258,22
data\training_data\5465.png,98.125,1.0,csv,csv_000005465,10
data\training_data\9874.png,98.125,1.0,csv,csv_000009874,19
data\training_data\8889.png,67.5,1.0,csv,csv_000008889,17
data\training_data\5696.png,106.875,1.0,csv,csv_000005696,11
car\data\drive_frames\1773065843382_90_35.png,90.0,35.0,drive_frames,drive_1773065843382,29
data\training_data\820.png,98.125,1.0,csv,csv_000000820,1
data\training_data\5545.png,54.375,1.0,csv,csv_000005545,11
data\training_data\7182.png,106.875,1.0,csv,csv_000007182,14
data\training_data\2375.png,80.625,0.0,csv,csv_000002375,4
data\training_data\1061.png,111.25,0.0,csv,csv_000001061,2
data\training_data\995.png,80.625,1.0,csv,csv_000000995,1
data\training_data\13243.png,106.875,1.0,csv,csv_000013243,26
car\data\drive_frames\1773065840280_60_35.png,60.0,35.0,drive_frames,drive_1773065840280,29
data\training_data\8661.png,67.5,0.0,csv,csv_000008661,17
data\training_data\1482.png,67.5,1.0,csv,csv_000001482,2
car\data\drive_frames\1773066153540_50_35.png,50.0,35.0,drive_frames,drive_1773066153540,29
data\training_data\6631.png,54.375,1.0,csv,csv_000006631,13
data\training_data\13472.png,63.125,1.0,csv,csv_000013472,26
data\training_data\8813.png,85.0,1.0,csv,csv_000008813,17
data\training_data\8771.png,89.375,1.0,csv,csv_000008771,17
data\training_data\12739.png,115.625,0.0,csv,csv_000012739,25
data\training_data\6707.png,85.0,0.0,csv,csv_000006707,13
data\training_data\9857.png,85.0,0.0,csv,csv_000009857,19
data\training_data\12574.png,102.5,1.0,csv,csv_000012574,25
data\training_data\2209.png,98.125,1.0,csv,csv_000002209,4
data\training_data\9660.png,85.0,1.0,csv,csv_000009660,19
data\training_data\10071.png,111.25,0.0,csv,csv_000010071,20
car\data\drive_frames\1772210008130_125_35.png,120.0,35.0,drive_frames,drive_1772210008130,29
car\data\drive_frames\1773066169057_90_35.png,90.0,35.0,drive_frames,drive_1773066169057,29
data\training_data\5866.png,111.25,0.0,csv,csv_000005866,11
car\data\drive_frames\1772209951156_120_35.png,120.0,35.0,drive_frames,drive_1772209951156,28
data\training_data\13006.png,80.625,1.0,csv,csv_000013006,25
data\training_data\8361.png,76.25,1.0,csv,csv_000008361,16
data\training_data\9914.png,71.875,1.0,csv,csv_000009914,19
data\training_data\3941.png,93.75,1.0,csv,csv_000003941,7
data\training_data\692.png,89.375,0.0,csv,csv_000000692,1
data\training_data\8769.png,85.0,1.0,csv,csv_000008769,17
data\training_data\1124.png,85.0,1.0,csv,csv_000001124,2
data\training_data\2078.png,76.25,1.0,csv,csv_000002078,4
data\training_data\7215.png,89.375,1.0,csv,csv_000007215,14
data\training_data\11849.png,85.0,1.0,csv,csv_000011849,23
data\training_data\9879.png,85.0,0.0,csv,csv_000009879,19
data\training_data\11260.png,106.875,1.0,csv,csv_000011260,22
data\training_data\8089.png,93.75,1.0,csv,csv_000008089,16
data\training_data\11730.png,93.75,1.0,csv,csv_000011730,23
data\training_data\12783.png,80.625,1.0,csv,csv_000012783,25
data\training_data\12010.png,80.625,1.0,csv,csv_000012010,23
data\training_data\1461.png,106.875,1.0,csv,csv_000001461,2
data\training_data\2323.png,85.0,0.0,csv,csv_000002323,4
data\training_data\12910.png,80.625,1.0,csv,csv_000012910,25
data\training_data\7080.png,89.375,1.0,csv,csv_000007080,14
data\training_data\12635.png,58.75,1.0,csv,csv_000012635,25
data\training_data\8713.png,80.625,1.0,csv,csv_000008713,17
data\training_data\4381.png,80.625,0.0,csv,csv_000004381,8
data\training_data\7387.png,76.25,1.0,csv,csv_000007387,14
data\training_data\5162.png,71.875,1.0,csv,csv_000005162,10
data\training_data\9639.png,98.125,1.0,csv,csv_000009639,19
data\training_data\3682.png,76.25,1.0,csv,csv_000003682,7
data\training_data\5154.png,58.75,1.0,csv,csv_000005154,10
data\training_data\8309.png,93.75,1.0,csv,csv_000008309,16
data\training_data\14336.png,89.375,1.0,csv,csv_000014336,28
data\training_data\11307.png,85.0,1.0,csv,csv_000011307,22
data\training_data\8524.png,102.5,1.0,csv,csv_000008524,17
data\training_data\2105.png,80.625,1.0,csv,csv_000002105,4
data\training_data\12919.png,89.375,1.0,csv,csv_000012919,25
data\training_data\14413.png,111.25,1.0,csv,csv_000014413,28
data\training_data\5428.png,85.0,0.0,csv,csv_000005428,10
data\training_data\11291.png,89.375,1.0,csv,csv_000011291,22
data\training_data\9003.png,58.75,1.0,csv,csv_000009003,17
data\training_data\13405.png,58.75,1.0,csv,csv_000013405,26
data\training_data\14042.png,93.75,1.0,csv,csv_000014042,28
car\data\drive_frames\1773147858428_95_35.png,95.0,35.0,drive_frames,drive_1773147858428,31
data\training_data\14319.png,85.0,1.0,csv,csv_000014319,28
car\data\drive_frames\1773147883239_90_35.png,90.0,35.0,drive_frames,drive_1773147883239,31
data\training_data\8970.png,85.0,1.0,csv,csv_000008970,17
data\training_data\2719.png,102.5,1.0,csv,csv_000002719,5
data\training_data\11472.png,106.875,1.0,csv,csv_000011472,22
data\training_data\741.png,85.0,1.0,csv,csv_000000741,1
data\training_data\6886.png,58.75,0.0,csv,csv_000006886,13
data\training_data\3608.png,85.0,1.0,csv,csv_000003608,7
car\data\drive_frames\1772210036044_105_35.png,105.0,35.0,drive_frames,drive_1772210036044,29
data\training_data\6544.png,93.75,1.0,csv,csv_000006544,13
data\training_data\4446.png,80.625,1.0,csv,csv_000004446,8
car\data\drive_frames\1773145031894_90_0.png,90.0,0.0,drive_frames,drive_1773145031894,29
data\training_data\2774.png,93.75,1.0,csv,csv_000002774,5
data\training_data\6845.png,85.0,0.0,csv,csv_000006845,13
data\training_data\3748.png,85.0,1.0,csv,csv_000003748,7
data\training_data\5190.png,89.375,1.0,csv,csv_000005190,10
data\training_data\14112.png,85.0,0.0,csv,csv_000014112,28
data\training_data\7377.png,80.625,1.0,csv,csv_000007377,14
car\data\drive_frames\1773147928814_90_35.png,90.0,35.0,drive_frames,drive_1773147928814,31
data\training_data\5492.png,89.375,1.0,csv,csv_000005492,10
data\training_data\2751.png,106.875,0.0,csv,csv_000002751,5
car\data\drive_frames\1773065991137_85_35.png,85.0,35.0,drive_frames,drive_1773065991137,29
data\training_data\4467.png,93.75,1.0,csv,csv_000004467,8
car\data\drive_frames\1773147923632_120_35.png,120.0,35.0,drive_frames,drive_1773147923632,31
data\training_data\4074.png,106.875,1.0,csv,csv_000004074,8
data\training_data\4255.png,76.25,0.0,csv,csv_000004255,8
data\training_data\7036.png,54.375,1.0,csv,csv_000007036,14
data\training_data\11254.png,63.125,1.0,csv,csv_000011254,22
data\training_data\6530.png,85.0,1.0,csv,csv_000006530,13
data\training_data\7333.png,85.0,1.0,csv,csv_000007333,14
data\training_data\14363.png,93.75,0.0,csv,csv_000014363,28
data\training_data\11048.png,106.875,1.0,csv,csv_000011048,22
data\training_data\13372.png,58.75,1.0,csv,csv_000013372,26
data\training_data\8212.png,85.0,0.0,csv,csv_000008212,16
data\training_data\13521.png,85.0,1.0,csv,csv_000013521,26
data\training_data\13116.png,102.5,1.0,csv,csv_000013116,26
car\data\drive_frames\1773147976397_95_35.png,95.0,35.0,drive_frames,drive_1773147976397,31
data\training_data\3685.png,93.75,1.0,csv,csv_000003685,7
data\training_data\6913.png,102.5,1.0,csv,csv_000006913,13
data\training_data\8097.png,111.25,0.0,csv,csv_000008097,16
data\training_data\6601.png,98.125,1.0,csv,csv_000006601,13
data\training_data\679.png,85.0,1.0,csv,csv_000000679,1
data\training_data\6705.png,71.875,1.0,csv,csv_000006705,13
data\training_data\5975.png,89.375,0.0,csv,csv_000005975,11
data\training_data\4160.png,85.0,1.0,csv,csv_000004160,8
data\training_data\13202.png,71.875,1.0,csv,csv_000013202,26
data\training_data\4123.png,50.0,1.0,csv,csv_000004123,8
data\training_data\6638.png,85.0,1.0,csv,csv_000006638,13
data\training_data\7433.png,102.5,1.0,csv,csv_000007433,14
data\training_data\12815.png,85.0,1.0,csv,csv_000012815,25
data\training_data\8592.png,93.75,1.0,csv,csv_000008592,17
data\training_data\11599.png,102.5,1.0,csv,csv_000011599,23
data\training_data\4218.png,67.5,0.0,csv,csv_000004218,8
car\data\drive_frames\1773065838211_60_35.png,60.0,35.0,drive_frames,drive_1773065838211,29
data\training_data\8479.png,89.375,1.0,csv,csv_000008479,16
data\training_data\6833.png,80.625,1.0,csv,csv_000006833,13
data\training_data\11709.png,98.125,1.0,csv,csv_000011709,23
data\training_data\6985.png,106.875,1.0,csv,csv_000006985,13
data\training_data\9598.png,93.75,1.0,csv,csv_000009598,19
data\training_data\10423.png,80.625,1.0,csv,csv_000010423,20
data\training_data\12003.png,102.5,1.0,csv,csv_000012003,23
data\training_data\7501.png,58.75,1.0,csv,csv_000007501,14
data\training_data\11194.png,93.75,1.0,csv,csv_000011194,22
car\data\drive_frames\1773065802022_55_35.png,55.0,35.0,drive_frames,drive_1773065802022,29
data\training_data\4305.png,98.125,1.0,csv,csv_000004305,8
data\training_data\3523.png,63.125,1.0,csv,csv_000003523,7
data\training_data\2152.png,102.5,1.0,csv,csv_000002152,4
data\training_data\8111.png,85.0,0.0,csv,csv_000008111,16
car\data\drive_frames\1773148029932_85_35.png,85.0,35.0,drive_frames,drive_1773148029932,31
data\training_data\5924.png,89.375,1.0,csv,csv_000005924,11
car\data\drive_frames\1773065689991_90_35.png,90.0,35.0,drive_frames,drive_1773065689991,29
data\training_data\5995.png,85.0,1.0,csv,csv_000005995,11
data\training_data\2455.png,67.5,1.0,csv,csv_000002455,4
data\training_data\3881.png,58.75,1.0,csv,csv_000003881,7
data\training_data\2380.png,85.0,1.0,csv,csv_000002380,4
data\training_data\1122.png,85.0,0.0,csv,csv_000001122,2
data\training_data\2516.png,98.125,1.0,csv,csv_000002516,5
data\training_data\7412.png,58.75,1.0,csv,csv_000007412,14
data\training_data\2297.png,85.0,0.0,csv,csv_000002297,4
data\training_data\2611.png,89.375,1.0,csv,csv_000002611,5
data\training_data\7208.png,93.75,1.0,csv,csv_000007208,14
data\training_data\9723.png,85.0,0.0,csv,csv_000009723,19
car\data\drive_frames\1772209934613_90_35.png,90.0,35.0,drive_frames,drive_1772209934613,28
data\training_data\3617.png,102.5,1.0,csv,csv_000003617,7
car\data\drive_frames\1773148022925_110_35.png,110.0,35.0,drive_frames,drive_1773148022925,31
data\training_data\10116.png,85.0,1.0,csv,csv_000010116,20
data\training_data\5324.png,80.625,1.0,csv,csv_000005324,10
data\training_data\7265.png,98.125,1.0,csv,csv_000007265,14
data\training_data\4215.png,80.625,1.0,csv,csv_000004215,8
data\training_data\13065.png,106.875,1.0,csv,csv_000013065,26
data\training_data\3735.png,67.5,1.0,csv,csv_000003735,7
data\training_data\3932.png,115.625,1.0,csv,csv_000003932,7
data\training_data\12963.png,50.0,1.0,csv,csv_000012963,25
data\training_data\8273.png,111.25,1.0,csv,csv_000008273,16
data\training_data\14245.png,89.375,1.0,csv,csv_000014245,28
data\training_data\8332.png,80.625,1.0,csv,csv_000008332,16
data\training_data\1190.png,102.5,1.0,csv,csv_000001190,2
data\training_data\9901.png,85.0,0.0,csv,csv_000009901,19
data\training_data\5308.png,93.75,1.0,csv,csv_000005308,10
data\training_data\5559.png,85.0,0.0,csv,csv_000005559,11
car\data\drive_frames\1773066083218_50_35.png,50.0,35.0,drive_frames,drive_1773066083218,29
data\training_data\12562.png,58.75,1.0,csv,csv_000012562,25
data\training_data\524.png,85.0,1.0,csv,csv_000000524,1
data\training_data\4444.png,85.0,1.0,csv,csv_000004444,8
data\training_data\11688.png,93.75,1.0,csv,csv_000011688,23
data\training_data\8330.png,85.0,1.0,csv,csv_000008330,16
car\data\drive_frames\1773065747887_85_35.png,85.0,35.0,drive_frames,drive_1773065747887,29
car\data\drive_frames\1773066131824_50_35.png,50.0,35.0,drive_frames,drive_1773066131824,29
car\data\drive_frames\1773148048539_115_35.png,115.0,35.0,drive_frames,drive_1773148048539,31
data\training_data\11300.png,85.0,0.0,csv,csv_000011300,22
data\training_data\12578.png,76.25,0.0,csv,csv_000012578,25
data\training_data\11315.png,111.25,0.0,csv,csv_000011315,22
data\training_data\13004.png,63.125,1.0,csv,csv_000013004,25
data\training_data\948.png,67.5,1.0,csv,csv_000000948,1
data\training_data\6579.png,76.25,1.0,csv,csv_000006579,13
data\training_data\10233.png,102.5,1.0,csv,csv_000010233,20
car\data\drive_frames\1773148007414_80_35.png,80.0,35.0,drive_frames,drive_1773148007414,31
data\training_data\7103.png,58.75,0.0,csv,csv_000007103,14
data\training_data\1199.png,89.375,1.0,csv,csv_000001199,2
data\training_data\10479.png,71.875,1.0,csv,csv_000010479,20
data\training_data\3864.png,85.0,1.0,csv,csv_000003864,7
data\training_data\1325.png,102.5,1.0,csv,csv_000001325,2
data\training_data\2150.png,85.0,1.0,csv,csv_000002150,4
data\training_data\1481.png,98.125,1.0,csv,csv_000001481,2
data\training_data\8928.png,85.0,1.0,csv,csv_000008928,17
data\training_data\11188.png,106.875,1.0,csv,csv_000011188,22
data\training_data\2381.png,71.875,1.0,csv,csv_000002381,4
data\training_data\2160.png,102.5,1.0,csv,csv_000002160,4
data\training_data\10161.png,85.0,1.0,csv,csv_000010161,20
data\training_data\3522.png,85.0,0.0,csv,csv_000003522,7
data\training_data\970.png,93.75,1.0,csv,csv_000000970,1
data\training_data\10317.png,98.125,1.0,csv,csv_000010317,20
data\training_data\645.png,98.125,1.0,csv,csv_000000645,1
data\training_data\6798.png,98.125,1.0,csv,csv_000006798,13
data\training_data\2927.png,102.5,1.0,csv,csv_000002927,5
data\training_data\2576.png,85.0,0.0,csv,csv_000002576,5
data\training_data\11580.png,93.75,0.0,csv,csv_000011580,23
data\training_data\1135.png,98.125,0.0,csv,csv_000001135,2
data\training_data\12006.png,89.375,1.0,csv,csv_000012006,23
data\training_data\8762.png,102.5,0.0,csv,csv_000008762,17
data\training_data\6768.png,80.625,1.0,csv,csv_000006768,13
data\training_data\633.png,93.75,0.0,csv,csv_000000633,1
data\training_data\3875.png,89.375,1.0,csv,csv_000003875,7
data\training_data\8230.png,106.875,1.0,csv,csv_000008230,16
data\training_data\1340.png,120.0,1.0,csv,csv_000001340,2
data\training_data\5576.png,58.75,1.0,csv,csv_000005576,11
data\training_data\8107.png,106.875,1.0,csv,csv_000008107,16
data\training_data\14195.png,106.875,1.0,csv,csv_000014195,28
data\training_data\2775.png,106.875,1.0,csv,csv_000002775,5
data\training_data\4018.png,98.125,1.0,csv,csv_000004018,8
data\training_data\5287.png,58.75,1.0,csv,csv_000005287,10
data\training_data\9559.png,111.25,1.0,csv,csv_000009559,19
data\training_data\7016.png,106.875,0.0,csv,csv_000007016,13
data\training_data\12981.png,89.375,1.0,csv,csv_000012981,25
data\training_data\554.png,111.25,1.0,csv,csv_000000554,1
data\training_data\6936.png,71.875,1.0,csv,csv_000006936,13
data\training_data\8124.png,102.5,0.0,csv,csv_000008124,16
data\training_data\5448.png,102.5,1.0,csv,csv_000005448,10
car\data\drive_frames\1772210012263_90_35.png,90.0,35.0,drive_frames,drive_1772210012263,29
data\training_data\11143.png,80.625,1.0,csv,csv_000011143,22
data\training_data\13076.png,106.875,1.0,csv,csv_000013076,26
data\training_data\663.png,85.0,1.0,csv,csv_000000663,1
data\training_data\3531.png,80.625,1.0,csv,csv_000003531,7
car\data\drive_frames\1773066150435_65_35.png,65.0,35.0,drive_frames,drive_1773066150435,29
data\training_data\8218.png,111.25,0.0,csv,csv_000008218,16
data\training_data\3629.png,67.5,1.0,csv,csv_000003629,7
